theta time Kinect_theta
-10 20.421 -0.24371
-10 20.4719 -0.246093
-10 20.523 -0.247824
-10 20.5749 -0.247651
-10 20.6262 -0.251962
-10 20.6775 -0.252002
-10 20.7289 -0.250059
-10 20.7794 -0.244177
-10 20.8305 -0.243604
-10 20.8882 -0.249611
-10 20.9489 -0.24952
-10 21.0082 -0.256361
-10 21.0685 -0.249442
-10 21.1288 -0.246441
-10 21.1887 -0.249664
-10 21.2501 -0.245521
-10 21.3099 -0.249718
-10 21.3697 -0.245457
-10 21.43 -0.240463
-10 21.4915 -0.243176
-10 21.5516 -0.243004
-10 21.6123 -0.245945
-10 21.6719 -0.242527
-10 21.7318 -0.244487
-10 21.7933 -0.244762
-10 21.8434 -0.240916
-10 21.8952 -0.243767
-10 21.9464 -0.245557
-10 21.9974 -0.244881
-10 22.0491 -0.247633
-10 22.1012 -0.248262
-10 22.154 -0.243644
-10 22.2052 -0.24198
-10 22.2579 -0.243083
-10 22.3088 -0.242013
-10 22.3602 -0.242687
-10 22.4124 -0.245138
-10 22.4636 -0.249327
-10 22.5148 -0.24728
-10 22.5673 -0.244009
-10 22.6185 -0.246832
-10 22.6698 -0.250593
-10 22.7209 -0.249901
-10 22.7717 -0.248631
-10 22.8271 -0.244902
-10 22.8822 -0.242494
-10 22.9334 -0.244775
-10 22.9844 -0.244047
-10 23.0345 -0.240233
-10 23.0892 -0.243978
-10 23.1436 -0.247712
-10 23.1985 -0.249664
-10 23.253 -0.247423
-10 23.3087 -0.242431
-10 23.3619 -0.246975
-10 23.4128 -0.248456
-10 23.4647 -0.246207
-10 23.5155 -0.243133
-10 23.5675 -0.240408
-10 23.6191 -0.247189
-10 23.6703 -0.245086
-10 23.7233 -0.248826
-10 23.7752 -0.242979
-10 23.8306 -0.248312
-10 23.8821 -0.245794
-10 23.932 -0.248528
-10 23.9828 -0.245719
-10 24.0332 -0.24452
-10 24.0829 -0.243384
-10 24.1332 -0.245945
-10 24.1833 -0.24585
-10 24.233 -0.245021
-10 24.2829 -0.246085
-10 24.3326 -0.245398
-10 24.3831 -0.248948
-10 24.4477 -0.245336
-10 24.4983 -0.242761
-10 24.5491 -0.247678
-10 24.6006 -0.245782
-10 24.6522 -0.252207
-10 24.7046 -0.240164
-10 24.7641 -0.242763
-10 24.8247 -0.247243
-10 24.8745 -0.248057
-10 24.9257 -0.245321
-10 24.9764 -0.243137
-10 25.0274 -0.246183
-10 25.0779 -0.245886
-10 25.138 -0.244575
-10 25.1977 -0.245281
-10 25.2587 -0.243827
-10 25.3181 -0.243237
-10 25.3788 -0.243736
-10 25.4381 -0.245346
-10 25.4977 -0.245203
-10 25.5593 -0.244071
-10 25.6195 -0.246881
-10 25.6796 -0.247752
-10 25.739 -0.244004
-10 25.7987 -0.244197
-10 25.8538 -0.245486
-10 25.9053 -0.244309
-10 25.9569 -0.24205
-10 26.0075 -0.239844
-10 26.0589 -0.24396
-10 26.1088 -0.239825
-10 26.1597 -0.241133
-10 26.2198 -0.240607
-10 26.2797 -0.245105
-10 26.3391 -0.242802
-10 26.4002 -0.241985
-10 26.4601 -0.243845
-10 26.5196 -0.249013
-10 26.579 -0.249185
-10 26.6386 -0.245323
-10 26.6988 -0.249945
-10 26.7584 -0.242314
-10 26.819 -0.248374
-10 26.8744 -0.248535
-10 26.9254 -0.243223
-10 26.9773 -0.242925
-10 27.0293 -0.247027
-10 27.0811 -0.246412
-10 27.133 -0.247437
-10 27.1853 -0.246368
-10 27.2364 -0.245032
-10 27.2871 -0.242762
-10 27.338 -0.242175
-10 27.3891 -0.242945
-10 27.439 -0.241138
-10 27.4896 -0.244996
-10 27.5441 -0.244569
-10 27.6046 -0.246373
-10 27.6647 -0.246141
-10 27.7248 -0.242056
-10 27.7815 -0.238437
-10 27.8345 -0.24752
-10 27.8863 -0.244879
-10 27.9384 -0.246592
-10 27.9898 -0.248167
-10 28.0416 -0.244619
-10 28.0928 -0.240985
-10 28.1448 -0.247606
-10 28.1978 -0.245486
-10 28.2583 -0.241176
-10 28.3184 -0.243028
-10 28.3795 -0.242528
-10 28.4398 -0.242133
-10 28.4999 -0.249475
-10 28.56 -0.248004
-10 28.6198 -0.245198
-10 28.6795 -0.242448
-10 28.7411 -0.246832
-10 28.8015 -0.248188
-10 28.8625 -0.251372
-10 28.9222 -0.242638
-10 28.9831 -0.242888
-10 29.0437 -0.243214
-10 29.1034 -0.249114
-10 29.1628 -0.247381
-10 29.2236 -0.251365
-10 29.284 -0.244649
-10 29.343 -0.239566
-10 29.403 -0.242464
-10 29.4625 -0.245514
-10 29.5225 -0.251077
-10 29.5818 -0.243689
-10 29.641 -0.243722
-10 29.6904 -0.243349
-10 29.7404 -0.24931
-10 29.8036 -0.245678
-10 29.8555 -0.246405
-10 29.9049 -0.245008
-10 29.9644 -0.24489
-10 30.0241 -0.246622
-10 30.0826 -0.255932
-10 30.1379 -0.245895
-10 30.1885 -0.2475
-10 30.2395 -0.246985
-10 30.2909 -0.243781
-10 30.3434 -0.243632
-10 30.3957 -0.251109
-10 30.4478 -0.245349
-10 30.4991 -0.247057
-10 30.5506 -0.242843
-10 30.6022 -0.242977
-10 30.6543 -0.241556
-10 30.7048 -0.245984
-10 30.7558 -0.2442
-10 30.8086 -0.243674
-10 30.8612 -0.245801
-10 30.912 -0.243081
-10 30.9633 -0.242724
-10 31.0149 -0.247566
-10 31.0677 -0.256114
-10 31.1202 -0.251468
-10 31.171 -0.247726
-10 31.2242 -0.246931
-10 31.2759 -0.248306
-10 31.328 -0.251389
-10 31.3799 -0.248229
-10 31.4311 -0.24289
-10 31.4823 -0.250449
-10 31.5342 -0.244981
-10 31.586 -0.248706
-10 31.6363 -0.245893
-10 31.6865 -0.247306
-10 31.739 -0.250078
-10 31.7906 -0.255027
-10 31.8424 -0.25278
-10 31.8948 -0.243753
-10 31.9462 -0.243611
-10 32.0037 -0.245939
-10 32.0531 -0.246421
-10 32.1027 -0.245902
-10 32.1521 -0.244718
-10 32.202 -0.246915
-10 32.2532 -0.245785
-10 32.3029 -0.245621
-10 32.3523 -0.246379
-10 32.4023 -0.247772
-10 32.452 -0.245256
-10 32.5021 -0.246256
-10 32.5613 -0.248057
-10 32.6126 -0.250449
-10 32.6629 -0.23917
-10 32.7135 -0.243906
-10 32.766 -0.240943
-10 32.8177 -0.246539
-10 32.8701 -0.246918
-10 32.9207 -0.251298
-10 32.9723 -0.250838
-10 33.0237 -0.246853
-10 33.0759 -0.23406
-10 33.1264 -0.245212
-10 33.1768 -0.249182
-10 33.2281 -0.245449
-10 33.2794 -0.25085
-10 33.3299 -0.236542
-10 33.3911 -0.243858
-10 33.452 -0.2463
-10 33.5102 -0.248409
-10 33.5703 -0.241935
-10 33.63 -0.245415
-10 33.6923 -0.247906
-10 33.7527 -0.243549
-10 33.8132 -0.242375
-10 33.8652 -0.243971
-10 33.9176 -0.245348
-10 33.9693 -0.245825
-10 34.0203 -0.248106
-10 34.0716 -0.246345
-10 34.124 -0.24673
-10 34.176 -0.241573
-10 34.2279 -0.241167
-10 34.2795 -0.245787
-10 34.3321 -0.245893
-10 34.383 -0.243406
-10 34.4368 -0.244224
-10 34.4887 -0.237747
-10 34.5418 -0.241705
-10 34.5972 -0.244264
-10 34.6532 -0.245476
-10 34.7079 -0.239466
-10 34.7668 -0.246102
-10 34.8266 -0.241194
-10 34.8779 -0.244264
-10 34.9377 -0.245154
-10 34.9973 -0.243623
-10 35.0571 -0.244993
-10 35.119 -0.247285
-10 35.1805 -0.24343
-10 35.24 -0.249931
-10 35.2985 -0.242019
-10 35.3536 -0.244259
