theta time Kinect_theta
-02 15.2725 -0.0114098
-02 15.3229 -0.010291
-02 15.3736 -0.0272938
-02 15.4243 -0.0270483
-02 15.4751 -0.0107195
-02 15.5249 -0.0162027
-02 15.575 -0.0173138
-02 15.6251 -0.0177927
-02 15.6757 -0.0167704
-02 15.7265 -0.0156052
-02 15.7768 -0.00925762
-02 15.8268 -0.0131946
-02 15.8811 -0.0165073
-02 15.9349 -0.0174396
-02 15.9885 -0.0122336
-02 16.0416 -0.0159878
-02 16.0958 -0.0199728
-02 16.1489 -0.0121971
-02 16.1978 -0.015589
-02 16.256 -0.00877851
-02 16.3164 -0.00336462
-02 16.3774 -0.00702478
-02 16.4365 -0.0136982
-02 16.4943 -0.0275313
-02 16.5528 -0.0221013
-02 16.6108 -0.0118445
-02 16.6684 -0.00798204
-02 16.7272 -0.0135672
-02 16.7857 -0.0105535
-02 16.8454 -0.0114653
-02 16.9047 -0.0110093
-02 16.9538 -0.0078114
-02 17.002 -0.0115715
-02 17.0506 -0.0101897
-02 17.0987 -0.0145244
-02 17.1472 -0.0150786
-02 17.2059 -0.00866298
-02 17.2639 -0.0174635
-02 17.322 -0.0169328
-02 17.38 -0.00719209
-02 17.4382 -0.0201194
-02 17.4962 -0.0187124
-02 17.5545 -0.00887085
-02 17.6127 -0.0069268
-02 17.6714 -0.00425657
-02 17.7295 -0.0106808
-02 17.7873 -0.0160557
-02 17.8465 -0.0115786
-02 17.9058 -0.00744111
-02 17.965 -0.013391
-02 18.0231 -0.0123706
-02 18.0819 -0.0111013
-02 18.14 -0.00938023
-02 18.1985 -0.0158816
-02 18.2566 -0.0183114
-02 18.3147 -0.0075504
-02 18.3726 -0.0108903
-02 18.4314 -0.0101613
-02 18.4897 -0.00619516
-02 18.5478 -0.00814837
-02 18.606 -0.0146063
-02 18.6639 -0.0155918
-02 18.7224 -0.0116623
-02 18.776 -0.0158143
-02 18.8312 -0.015671
-02 18.8859 -0.0122339
-02 18.9399 -0.00237068
-02 18.9886 -0.0140425
-02 19.0505 -0.0124103
-02 19.1097 -0.00710183
-02 19.1601 -0.0130135
-02 19.2111 -0.00889266
-02 19.262 -0.0075478
-02 19.3133 -0.0190182
-02 19.3628 -0.01633
-02 19.4125 -0.0173277
-02 19.4626 -0.0129543
-02 19.5134 -0.0100943
-02 19.5634 -0.00992033
-02 19.6132 -0.0131518
-02 19.6632 -0.0134222
-02 19.7131 -0.0121469
-02 19.7635 -0.0164519
-02 19.8131 -0.018279
-02 19.8654 -0.01724
-02 19.916 -0.00456202
-02 19.9656 -0.0120622
-02 20.0168 -0.010663
-02 20.0671 -0.0198876
-02 20.1188 -0.0175033
-02 20.1689 -0.00890888
-02 20.2186 -0.01161
-02 20.2691 -0.0117659
-02 20.3191 -0.0148813
-02 20.3704 -0.0159042
-02 20.4204 -0.012436
-02 20.4709 -0.0145462
-02 20.5208 -0.0093611
-02 20.5702 -0.00733959
-02 20.62 -0.00973687
-02 20.6695 -0.00980941
-02 20.7202 -0.00739884
-02 20.7724 -0.0102346
-02 20.8223 -0.0110696
-02 20.8717 -0.0122738
-02 20.9215 -0.0129179
-02 20.9734 -0.00431512
-02 21.0249 -0.0183982
-02 21.0829 -0.0150935
-02 21.1374 -0.0169987
-02 21.187 -0.0140319
-02 21.2361 -0.0078639
-02 21.2865 -0.0156773
-02 21.3363 -0.0187954
-02 21.3864 -0.0195792
-02 21.4362 -0.0139574
-02 21.4878 -0.0107744
-02 21.5371 -0.0114474
-02 21.5861 -0.00967675
-02 21.6365 -0.0140764
-02 21.6862 -0.0159364
-02 21.7373 -0.0185126
-02 21.7871 -0.0125039
-02 21.8367 -0.0124919
-02 21.8871 -0.0147665
-02 21.9377 -0.0129753
-02 21.9871 -0.00997149
-02 22.037 -0.0165771
-02 22.0872 -0.0179959
-02 22.137 -0.0192004
-02 22.1877 -0.0149968
-02 22.2379 -0.0156283
-02 22.2877 -0.0127761
-02 22.3373 -0.0125057
-02 22.3867 -0.00836304
-02 22.436 -0.0130824
-02 22.4874 -0.0117002
-02 22.5371 -0.00696841
-02 22.5879 -0.0165304
-02 22.6377 -0.0178971
-02 22.6875 -0.00621804
-02 22.7373 -0.0011324
-02 22.7875 -0.00675004
-02 22.837 -0.0118824
-02 22.8871 -0.0116122
-02 22.9365 -0.00968569
-02 22.9866 -0.0145472
-02 23.0377 -0.00789132
-02 23.0878 -0.0122994
-02 23.137 -0.013239
-02 23.1875 -0.0127911
-02 23.2376 -0.00669024
-02 23.2871 -0.0116612
-02 23.3358 -0.0148756
-02 23.3848 -0.0120465
-02 23.4377 -0.00901177
-02 23.4914 -0.014035
-02 23.5493 -0.0137749
-02 23.603 -0.0149645
-02 23.6529 -0.00613616
-02 23.7058 -0.0204567
-02 23.7558 -0.0169192
-02 23.8055 -0.0135715
-02 23.8557 -0.00820732
-02 23.9085 -0.0175835
-02 23.9608 -0.0158815
-02 24.0195 -0.0168632
-02 24.0781 -0.0119462
-02 24.1377 -0.00813442
-02 24.1966 -0.011339
-02 24.2548 -0.00956705
-02 24.3134 -0.0118841
-02 24.3728 -0.0122241
-02 24.4309 -0.011245
-02 24.4892 -0.00852182
-02 24.548 -0.0112035
-02 24.5983 -0.0147066
-02 24.649 -0.0148183
-02 24.6996 -0.0147793
-02 24.7496 -0.015588
-02 24.8 -0.00696008
-02 24.8498 -0.0114166
-02 24.9035 -0.0202218
-02 24.9552 -0.0197879
-02 25.0053 -0.0151813
-02 25.0554 -0.0117698
-02 25.106 -0.00939362
-02 25.1564 -0.0166695
-02 25.2066 -0.01521
-02 25.2569 -0.0212497
-02 25.3064 -0.0149996
-02 25.3561 -0.0132143
-02 25.4062 -0.00541449
-02 25.4558 -0.0110766
-02 25.5076 -0.0144018
-02 25.5642 -0.0167373
-02 25.6229 -0.0153558
-02 25.6808 -0.0121415
-02 25.7392 -0.00218928
-02 25.798 -0.0133392
-02 25.8566 -0.0141386
-02 25.9158 -0.012764
-02 25.9735 -0.0128223
-02 26.0307 -0.0140216
-02 26.0883 -0.013954
-02 26.1484 -0.0179133
-02 26.1964 -0.0115906
-02 26.2459 -0.00393116
-02 26.2986 -0.00852432
-02 26.3488 -0.0127458
-02 26.3992 -0.0128692
-02 26.4487 -0.00510672
-02 26.4991 -0.0144051
-02 26.5495 -0.00842774
-02 26.5991 -0.0101511
-02 26.6491 -0.0120302
-02 26.7014 -0.0101656
-02 26.7512 -0.0116353
-02 26.8014 -0.00115051
-02 26.8508 -0.0165846
-02 26.9012 -0.0164181
-02 26.9514 -0.0110625
-02 27.0013 -0.0105939
-02 27.0518 -0.0127391
-02 27.1019 -0.0127925
-02 27.1523 -0.00367183
-02 27.2027 -0.0156836
-02 27.2526 -0.00869623
-02 27.3046 -0.0100111
-02 27.3543 -0.0109106
-02 27.4035 -0.00688261
-02 27.4537 -0.012832
-02 27.5037 -0.0115039
-02 27.5555 -0.0154212
-02 27.6061 -0.00755145
-02 27.6568 -0.0066968
-02 27.706 -0.0118768
-02 27.7557 -0.0130344
-02 27.8059 -0.00711648
-02 27.8555 -0.00910755
-02 27.9129 -0.0150699
-02 27.9684 -0.0143867
-02 28.0177 -0.0142165
-02 28.0699 -0.0144503
-02 28.1177 -0.0149569
-02 28.1677 -0.0116613
-02 28.2175 -0.00955193
-02 28.2671 -0.00969254
-02 28.3183 -0.0139305
-02 28.3674 -0.0106168
-02 28.4172 -0.0108685
-02 28.4665 -0.0146406
-02 28.5155 -0.00420545
-02 28.5649 -0.0109444
-02 28.6145 -0.00951051
-02 28.664 -0.0084459
-02 28.7141 -0.00933772
-02 28.7718 -0.0126296
