theta time VICON_theta
-10 1.65512 -0.246686
-10 1.65986 -0.246714
-10 1.66486 -0.246745
-10 1.66985 -0.246631
-10 1.67492 -0.246691
-10 1.68173 -0.246691
-10 1.68492 -0.246677
-10 1.68989 -0.24673
-10 1.69486 -0.246647
-10 1.69986 -0.246703
-10 1.70489 -0.246685
-10 1.70992 -0.246706
-10 1.71498 -0.246692
-10 1.71996 -0.246754
-10 1.72497 -0.24676
-10 1.72992 -0.246614
-10 1.73494 -0.246757
-10 1.73992 -0.24674
-10 1.74491 -0.246746
-10 1.74996 -0.246649
-10 1.75493 -0.246606
-10 1.75988 -0.246694
-10 1.76486 -0.246591
-10 1.76992 -0.246647
-10 1.77492 -0.246568
-10 1.77998 -0.246669
-10 1.78496 -0.246775
-10 1.78991 -0.246684
-10 1.79489 -0.246464
-10 1.79993 -0.246691
-10 1.80484 -0.246672
-10 1.80987 -0.246667
-10 1.81487 -0.246647
-10 1.81993 -0.246615
-10 1.82491 -0.246683
-10 1.82987 -0.246683
-10 1.8349 -0.246648
-10 1.83994 -0.24668
-10 1.84497 -0.246629
-10 1.84999 -0.246639
-10 1.85497 -0.246628
-10 1.85994 -0.246748
-10 1.86493 -0.246771
-10 1.86993 -0.246672
-10 1.87492 -0.246592
-10 1.87993 -0.246606
-10 1.89938 -0.246639
-10 1.8994 -0.246639
-10 1.89986 -0.246624
-10 1.90491 -0.246649
-10 1.90987 -0.246704
-10 1.91487 -0.246678
-10 1.93277 -0.246764
-10 1.93278 -0.246764
-10 1.93486 -0.246654
-10 1.93989 -0.246832
-10 1.94486 -0.24664
-10 1.94998 -0.246639
-10 1.95496 -0.24661
-10 1.95996 -0.246701
-10 1.96493 -0.246684
-10 1.96993 -0.246531
-10 1.97488 -0.246758
-10 1.97986 -0.246748
-10 1.98494 -0.246702
-10 1.98987 -0.246673
-10 1.99487 -0.246656
-10 1.99992 -0.246616
-10 2.01503 -0.246598
-10 2.01504 -0.246598
-10 2.01992 -0.246616
-10 2.02487 -0.246748
-10 2.02987 -0.246698
-10 2.03489 -0.246649
-10 2.03986 -0.246681
-10 2.04486 -0.246654
-10 2.04989 -0.246656
-10 2.05534 -0.246663
-10 2.05987 -0.246663
-10 2.06485 -0.246708
-10 2.06988 -0.246664
-10 2.07488 -0.246706
-10 2.07991 -0.24662
-10 2.0854 -0.246732
-10 2.09 -0.246595
-10 2.09496 -0.246763
-10 2.09994 -0.246708
-10 2.10494 -0.246695
-10 2.10997 -0.246714
-10 2.11488 -0.246723
-10 2.11993 -0.24666
-10 2.1249 -0.246717
-10 2.12987 -0.246606
-10 2.14941 -0.246566
-10 2.14942 -0.246566
-10 2.14989 -0.246746
-10 2.15507 -0.2467
-10 2.15989 -0.246521
-10 2.16491 -0.246675
-10 2.18286 -0.246678
-10 2.18287 -0.246678
-10 2.18539 -0.246707
-10 2.18987 -0.246719
-10 2.19486 -0.246756
-10 2.19986 -0.246653
-10 2.20488 -0.246692
-10 2.20994 -0.246639
-10 2.21569 -0.246782
-10 2.21993 -0.246628
-10 2.22489 -0.2467
-10 2.22985 -0.246696
-10 2.2487 -0.246718
-10 2.24872 -0.246718
-10 2.24987 -0.246712
-10 2.25508 -0.246751
-10 2.25986 -0.246735
-10 2.26489 -0.246687
-10 2.26987 -0.246657
-10 2.27485 -0.246644
-10 2.27985 -0.246556
-10 2.2849 -0.246635
-10 2.2899 -0.246662
-10 2.29487 -0.246738
-10 2.29987 -0.246685
-10 2.30488 -0.246724
-10 2.30986 -0.246791
-10 2.31492 -0.246633
-10 2.31993 -0.246639
-10 2.32488 -0.246739
-10 2.32986 -0.246724
-10 2.3349 -0.246654
-10 2.33995 -0.246686
-10 2.34497 -0.246692
-10 2.3501 -0.246741
-10 2.35501 -0.246757
-10 2.35995 -0.246726
-10 2.36487 -0.246674
-10 2.36989 -0.246698
-10 2.37485 -0.246736
-10 2.37986 -0.246652
-10 2.38493 -0.246602
-10 2.3899 -0.246544
-10 2.39486 -0.24662
-10 2.39987 -0.246511
-10 2.41501 -0.246644
-10 2.41504 -0.246644
-10 2.41991 -0.246694
-10 2.42491 -0.246644
-10 2.42987 -0.246581
-10 2.44963 -0.246649
-10 2.44964 -0.246649
-10 2.44986 -0.246792
-10 2.45487 -0.246698
-10 2.45986 -0.246562
-10 2.4649 -0.24666
-10 2.4699 -0.246633
-10 2.47493 -0.246753
-10 2.47996 -0.246755
-10 2.48493 -0.246641
-10 2.49016 -0.246576
-10 2.49493 -0.246758
-10 2.49995 -0.246643
-10 2.50494 -0.24672
-10 2.50992 -0.246799
-10 2.51494 -0.246649
-10 2.53309 -0.246606
-10 2.5331 -0.246606
-10 2.53493 -0.246633
-10 2.53986 -0.246692
-10 2.5449 -0.246726
-10 2.54987 -0.246612
-10 2.55489 -0.246708
-10 2.55987 -0.246707
-10 2.56488 -0.246724
-10 2.56986 -0.246745
-10 2.57486 -0.246626
-10 2.57985 -0.246694
-10 2.58491 -0.246717
-10 2.58993 -0.24664
-10 2.59495 -0.246802
-10 2.59994 -0.246783
-10 2.60493 -0.246767
-10 2.60991 -0.246709
-10 2.61496 -0.246673
-10 2.61995 -0.246667
-10 2.62488 -0.246766
-10 2.62986 -0.246723
-10 2.63494 -0.246746
-10 2.63986 -0.246766
-10 2.64486 -0.246712
-10 2.6499 -0.24668
-10 2.65488 -0.246797
-10 2.65987 -0.246758
-10 2.66494 -0.246544
-10 2.66986 -0.24663
-10 2.67486 -0.246704
-10 2.67985 -0.246754
-10 2.68601 -0.246792
-10 2.68987 -0.24658
-10 2.69489 -0.246707
-10 2.69985 -0.24666
-10 2.70486 -0.246729
-10 2.70985 -0.24666
-10 2.71485 -0.246587
-10 2.71989 -0.246636
-10 2.72487 -0.246627
-10 2.72991 -0.246625
-10 2.73486 -0.246672
-10 2.73986 -0.246696
-10 2.74493 -0.246644
-10 2.75002 -0.24676
-10 2.75496 -0.246696
-10 2.75994 -0.246692
-10 2.76492 -0.246646
-10 2.78312 -0.246658
-10 2.78313 -0.246658
-10 2.7849 -0.246708
-10 2.78995 -0.246595
-10 2.79489 -0.246687
-10 2.79987 -0.246809
-10 2.81661 -0.246596
-10 2.81662 -0.246596
-10 2.81992 -0.246664
-10 2.8249 -0.246569
-10 2.82993 -0.246597
-10 2.84994 -0.246652
-10 2.84996 -0.246652
-10 2.85011 -0.246689
-10 2.85495 -0.246645
-10 2.8599 -0.246733
-10 2.86489 -0.246674
-10 2.88194 -0.24667
-10 2.88196 -0.24667
-10 2.8849 -0.246633
-10 2.88991 -0.246645
-10 2.89486 -0.246794
-10 2.89987 -0.246684
-10 2.91535 -0.246762
-10 2.91536 -0.246762
-10 2.91994 -0.246693
-10 2.92493 -0.24667
-10 2.92993 -0.246655
-10 2.9488 -0.246722
-10 2.94881 -0.246722
-10 2.94997 -0.246741
-10 2.95495 -0.246724
-10 2.95988 -0.246604
-10 2.96487 -0.246721
-10 2.98199 -0.246637
-10 2.98201 -0.246637
-10 2.98488 -0.246747
-10 2.98991 -0.246738
-10 2.99487 -0.24672
-10 2.99989 -0.246681
-10 3.00487 -0.246732
-10 3.00987 -0.246722
-10 3.01488 -0.246743
-10 3.01991 -0.24671
-10 3.02486 -0.246748
-10 3.02986 -0.246674
-10 3.03488 -0.24666
-10 3.03988 -0.246626
-10 3.04492 -0.246684
-10 3.04995 -0.246548
-10 3.05496 -0.246609
-10 3.05993 -0.246632
-10 3.06494 -0.246645
-10 3.06991 -0.246612
-10 3.07492 -0.24665
-10 3.07989 -0.24667
-10 3.09877 -0.246687
-10 3.09878 -0.246687
-10 3.09995 -0.246663
-10 3.10489 -0.246536
-10 3.10991 -0.246662
-10 3.11486 -0.246743
-10 3.13241 -0.246602
-10 3.13243 -0.246602
-10 3.13486 -0.246695
-10 3.13989 -0.246636
-10 3.14486 -0.246718
-10 3.14987 -0.246595
-10 3.15487 -0.246709
-10 3.15986 -0.246649
-10 3.16488 -0.246636
-10 3.16996 -0.246725
-10 3.17495 -0.246618
-10 3.17992 -0.246805
-10 3.18495 -0.246719
-10 3.18994 -0.246797
-10 3.19488 -0.246733
-10 3.1999 -0.24671
-10 3.20489 -0.24671
-10 3.20986 -0.246775
-10 3.2149 -0.246763
-10 3.21991 -0.246741
-10 3.22486 -0.246728
-10 3.22987 -0.246781
-10 3.24871 -0.246751
-10 3.24871 -0.246751
-10 3.24985 -0.246729
-10 3.25488 -0.24666
-10 3.25986 -0.246671
-10 3.2649 -0.246738
-10 3.2699 -0.246677
-10 3.27494 -0.246682
-10 3.27991 -0.246692
-10 3.2988 -0.246674
-10 3.29883 -0.246674
-10 3.29993 -0.246764
-10 3.30498 -0.246743
-10 3.30997 -0.246676
-10 3.31502 -0.246816
-10 3.31997 -0.246707
-10 3.32493 -0.24673
-10 3.32992 -0.246694
-10 3.33492 -0.246715
-10 3.33992 -0.24662
-10 3.34493 -0.246616
-10 3.34991 -0.246645
-10 3.35486 -0.246578
-10 3.35984 -0.246618
-10 3.36502 -0.246663
-10 3.36985 -0.246595
-10 3.37484 -0.246683
-10 3.37987 -0.246586
-10 3.38483 -0.246619
-10 3.3899 -0.246728
-10 3.39496 -0.24669
-10 3.39996 -0.246647
-10 3.40655 -0.246543
-10 3.40991 -0.24665
-10 3.41514 -0.246762
-10 3.41992 -0.246717
-10 3.42488 -0.246693
-10 3.42986 -0.246637
-10 3.43495 -0.246632
-10 3.43988 -0.246575
-10 3.44486 -0.246602
-10 3.44989 -0.246674
-10 3.46688 -0.246655
-10 3.4669 -0.246655
-10 3.46986 -0.246677
-10 3.47486 -0.246616
-10 3.47986 -0.246688
-10 3.50013 -0.246673
-10 3.50015 -0.246673
-10 3.50487 -0.246657
-10 3.50986 -0.246729
-10 3.51485 -0.246727
-10 3.51993 -0.246704
-10 3.52496 -0.246713
-10 3.52995 -0.246676
-10 3.53494 -0.246678
-10 3.53992 -0.246648
-10 3.54493 -0.246746
-10 3.54993 -0.246699
-10 3.55549 -0.246653
-10 3.55987 -0.246661
-10 3.5651 -0.246643
-10 3.56986 -0.246817
-10 3.57485 -0.2466
-10 3.57985 -0.246659
-10 3.58483 -0.246672
-10 3.58985 -0.246677
-10 3.59483 -0.246701
-10 3.59983 -0.246687
-10 3.60486 -0.246744
-10 3.60985 -0.246668
-10 3.61482 -0.246629
-10 3.63225 -0.246647
-10 3.63227 -0.246647
-10 3.63487 -0.246587
-10 3.63986 -0.2467
-10 3.64486 -0.24672
-10 3.64989 -0.246647
-10 3.66682 -0.246575
-10 3.66684 -0.246575
-10 3.66986 -0.246692
-10 3.67486 -0.246618
-10 3.67985 -0.246677
-10 3.6849 -0.246601
-10 3.68985 -0.246628
-10 3.69483 -0.246685
-10 3.7 -0.246695
-10 3.70482 -0.246524
-10 3.70984 -0.246674
-10 3.71482 -0.246669
-10 3.71991 -0.246669
-10 3.72487 -0.246597
-10 3.72985 -0.246434
-10 3.73488 -0.246523
-10 3.73986 -0.246647
-10 3.74487 -0.24666
-10 3.74983 -0.246712
-10 3.755 -0.246732
-10 3.75984 -0.246619
-10 3.76489 -0.246558
-10 3.76986 -0.246706
-10 3.77486 -0.246709
-10 3.77985 -0.246629
-10 3.78484 -0.246747
-10 3.78995 -0.246604
-10 3.795 -0.246666
-10 3.80006 -0.246767
-10 3.81704 -0.246669
-10 3.81705 -0.246669
-10 3.81996 -0.246749
-10 3.82493 -0.246662
-10 3.82994 -0.246665
-10 3.83555 -0.246684
-10 3.83986 -0.246705
-10 3.84486 -0.246697
-10 3.84987 -0.246761
-10 3.85494 -0.24674
-10 3.85992 -0.24673
-10 3.86498 -0.24672
-10 3.86994 -0.246707
-10 3.87489 -0.2467
-10 3.87992 -0.246673
-10 3.88488 -0.246674
-10 3.88989 -0.246613
-10 3.89487 -0.246639
-10 3.89995 -0.24661
-10 3.90488 -0.246698
-10 3.90988 -0.246737
-10 3.91487 -0.246651
-10 3.91991 -0.246605
-10 3.92496 -0.246679
-10 3.92995 -0.246719
-10 3.93504 -0.246665
-10 3.93997 -0.246665
-10 3.94501 -0.246625
-10 3.94996 -0.246639
-10 3.955 -0.246584
-10 3.95994 -0.246675
-10 3.96488 -0.246729
-10 3.96992 -0.246642
-10 3.97489 -0.246715
-10 3.97986 -0.246758
-10 3.98489 -0.24665
-10 3.98989 -0.246614
-10 3.99486 -0.246607
-10 3.99993 -0.246696
-10 4.00488 -0.246719
-10 4.00987 -0.246715
-10 4.01487 -0.246582
-10 4.01987 -0.246629
-10 4.02491 -0.24656
-10 4.02986 -0.246559
-10 4.03489 -0.246693
-10 4.03987 -0.246747
-10 4.04486 -0.246651
-10 4.04987 -0.246593
-10 4.05493 -0.246669
-10 4.05996 -0.2466
-10 4.06495 -0.246619
-10 4.07 -0.246604
-10 4.07493 -0.246643
-10 4.07995 -0.246556
-10 4.08498 -0.246648
-10 4.08996 -0.246754
-10 4.09495 -0.246664
-10 4.10038 -0.246671
-10 4.10488 -0.246708
-10 4.10987 -0.246718
-10 4.11486 -0.246687
-10 4.11989 -0.246711
-10 4.12486 -0.24673
-10 4.12991 -0.24657
-10 4.13491 -0.246631
-10 4.1399 -0.246595
-10 4.14489 -0.246687
-10 4.14989 -0.246709
-10 4.15487 -0.24664
-10 4.15986 -0.246683
-10 4.16487 -0.246732
-10 4.16985 -0.246679
-10 4.17494 -0.246787
-10 4.17995 -0.246739
-10 4.18497 -0.246772
-10 4.18997 -0.246746
-10 4.19493 -0.24665
-10 4.19994 -0.246712
-10 4.20492 -0.246767
-10 4.20988 -0.246718
-10 4.21487 -0.246816
-10 4.21991 -0.246732
-10 4.22489 -0.246636
-10 4.2299 -0.24681
-10 4.2349 -0.246753
-10 4.23991 -0.246644
-10 4.24487 -0.246813
-10 4.24987 -0.246598
-10 4.25488 -0.246663
-10 4.25987 -0.246792
-10 4.26487 -0.246743
-10 4.2699 -0.246659
-10 4.27488 -0.24672
-10 4.2799 -0.246687
-10 4.28492 -0.246654
-10 4.28995 -0.246733
-10 4.29492 -0.246712
-10 4.30001 -0.246824
-10 4.30497 -0.246717
-10 4.30995 -0.246727
-10 4.31496 -0.246739
-10 4.31993 -0.246751
-10 4.32487 -0.246665
-10 4.32985 -0.246652
-10 4.33492 -0.246717
-10 4.33989 -0.246693
-10 4.34492 -0.246668
-10 4.34986 -0.246693
-10 4.36605 -0.246679
-10 4.36606 -0.246679
-10 4.36988 -0.246604
-10 4.37486 -0.246635
-10 4.37988 -0.246779
-10 4.3849 -0.246721
-10 4.39952 -0.246707
-10 4.39953 -0.246707
-10 4.39992 -0.246695
-10 4.40493 -0.246768
-10 4.40996 -0.2467
-10 4.41496 -0.246676
-10 4.43383 -0.246679
-10 4.43384 -0.246679
-10 4.43527 -0.246659
-10 4.43991 -0.246579
-10 4.44493 -0.246701
-10 4.44987 -0.246673
-10 4.45518 -0.246767
-10 4.45987 -0.24673
-10 4.4667 -0.246738
-10 4.46986 -0.246769
-10 4.47486 -0.246785
-10 4.47992 -0.246694
-10 4.48489 -0.246667
-10 4.48992 -0.246605
-10 4.49494 -0.2466
-10 4.49993 -0.246666
-10 4.50491 -0.246703
-10 4.50991 -0.246685
-10 4.5149 -0.246755
-10 4.52 -0.246698
-10 4.52493 -0.246757
-10 4.52987 -0.246657
-10 4.53497 -0.246749
-10 4.53988 -0.246792
-10 4.54489 -0.246794
-10 4.54986 -0.246682
-10 4.55511 -0.246658
-10 4.55986 -0.246667
-10 4.56496 -0.246714
-10 4.56988 -0.246715
-10 4.57486 -0.246693
-10 4.57986 -0.246677
-10 4.58501 -0.246708
-10 4.60062 -0.246729
-10 4.60063 -0.246729
-10 4.60488 -0.246855
-10 4.60994 -0.246747
-10 4.61491 -0.246787
-10 4.61993 -0.246712
-10 4.62492 -0.246669
-10 4.62987 -0.246693
-10 4.63485 -0.2467
-10 4.63987 -0.246686
-10 4.64485 -0.246669
-10 4.64995 -0.246677
-10 4.65491 -0.246796
-10 4.65985 -0.246714
-10 4.66488 -0.246724
-10 4.66988 -0.246754
-10 4.67487 -0.246692
-10 4.67986 -0.246743
-10 4.68499 -0.246728
-10 4.68989 -0.246727
-10 4.69486 -0.246696
-10 4.6999 -0.246599
-10 4.70488 -0.246701
-10 4.70986 -0.246702
-10 4.71485 -0.246601
-10 4.71989 -0.246644
-10 4.72485 -0.246657
-10 4.72986 -0.246669
-10 4.73489 -0.246628
-10 4.7399 -0.24671
-10 4.74494 -0.246735
-10 4.74993 -0.246656
-10 4.76736 -0.246708
-10 4.76737 -0.246708
-10 4.76991 -0.246605
-10 4.77492 -0.246558
-10 4.77991 -0.24664
-10 4.78493 -0.246635
-10 4.7899 -0.246584
-10 4.79485 -0.246698
-10 4.79986 -0.246734
-10 4.80491 -0.246709
-10 4.80988 -0.2468
-10 4.8149 -0.246753
-10 4.81985 -0.246795
-10 4.82489 -0.24676
-10 4.82987 -0.246809
-10 4.83534 -0.246699
-10 4.83986 -0.246631
-10 4.84487 -0.246727
-10 4.84988 -0.246653
-10 4.85501 -0.246691
-10 4.85998 -0.246646
-10 4.86487 -0.246731
-10 4.86987 -0.246699
-10 4.87487 -0.246926
-10 4.87986 -0.246745
-10 4.88488 -0.24673
-10 4.88989 -0.246829
-10 4.89485 -0.24669
-10 4.89986 -0.246807
-10 4.90487 -0.246711
-10 4.90987 -0.246715
-10 4.91486 -0.246704
-10 4.91986 -0.246636
-10 4.92488 -0.246692
-10 4.92985 -0.246633
-10 4.93486 -0.246718
-10 4.93985 -0.24668
-10 4.94486 -0.246721
-10 4.94985 -0.246794
-10 4.95507 -0.246736
-10 4.95993 -0.246727
-10 4.96495 -0.246687
-10 4.97005 -0.246685
-10 4.97497 -0.246805
-10 4.97993 -0.246711
-10 4.98497 -0.246616
-10 4.98994 -0.246633
-10 4.99487 -0.246653
-10 4.99989 -0.246538
-10 5.00494 -0.246673
-10 5.00989 -0.246643
-10 5.0149 -0.246723
-10 5.01987 -0.246712
-10 5.02487 -0.246784
-10 5.02991 -0.246709
-10 5.03491 -0.246653
-10 5.03992 -0.246531
-10 5.04488 -0.246685
-10 5.04986 -0.246644
-10 5.05487 -0.246541
-10 5.05992 -0.246734
-10 5.06495 -0.246728
-10 5.07 -0.246551
-10 5.07499 -0.246701
-10 5.07999 -0.246712
-10 5.08498 -0.246612
-10 5.08998 -0.246684
-10 5.09492 -0.246816
-10 5.09987 -0.246773
-10 5.10487 -0.246626
-10 5.10982 -0.246682
-10 5.11483 -0.246602
-10 5.13417 -0.246586
-10 5.13418 -0.246586
-10 5.13486 -0.246679
-10 5.13987 -0.246751
-10 5.14486 -0.246711
-10 5.14986 -0.24669
-10 5.15487 -0.246723
-10 5.15988 -0.246766
-10 5.16486 -0.246638
-10 5.16988 -0.246771
-10 5.17497 -0.246658
-10 5.18003 -0.246677
-10 5.18495 -0.24664
-10 5.18999 -0.246771
-10 5.19495 -0.246658
-10 5.19994 -0.246718
