theta time VICON_theta
-02 1.49498 -0.0193841
-02 1.49995 -0.0193558
-02 1.50495 -0.0193724
-02 1.50995 -0.0193224
-02 1.51496 -0.0194277
-02 1.51996 -0.0193507
-02 1.52505 -0.0192741
-02 1.53002 -0.01932
-02 1.53497 -0.0192106
-02 1.53996 -0.0193275
-02 1.54497 -0.0192107
-02 1.54995 -0.0192653
-02 1.55494 -0.0192982
-02 1.55996 -0.0191954
-02 1.56497 -0.0192111
-02 1.56998 -0.0190687
-02 1.57495 -0.0191352
-02 1.57996 -0.0191075
-02 1.58497 -0.0190631
-02 1.59046 -0.0189956
-02 1.59498 -0.0190762
-02 1.59996 -0.0189674
-02 1.60495 -0.0190275
-02 1.60995 -0.0189385
-02 1.61499 -0.0189705
-02 1.61998 -0.0190697
-02 1.62831 -0.0189402
-02 1.63002 -0.0189055
-02 1.63502 -0.0189384
-02 1.64004 -0.0189704
-02 1.64502 -0.0189806
-02 1.66084 -0.018988
-02 1.66085 -0.018988
-02 1.66501 -0.0189891
-02 1.66996 -0.0191067
-02 1.67495 -0.0190165
-02 1.67996 -0.0189947
-02 1.68496 -0.0190712
-02 1.68994 -0.019016
-02 1.69501 -0.0191743
-02 1.69998 -0.0190711
-02 1.70495 -0.0192088
-02 1.70995 -0.0191971
-02 1.71496 -0.0191875
-02 1.71995 -0.0192687
-02 1.72497 -0.0192671
-02 1.72999 -0.0192752
-02 1.73495 -0.0193376
-02 1.73995 -0.0193364
-02 1.74495 -0.0192256
-02 1.74997 -0.0192756
-02 1.75496 -0.0195224
-02 1.76003 -0.0194985
-02 1.76501 -0.019397
-02 1.76999 -0.0194248
-02 1.77499 -0.0193827
-02 1.78002 -0.0195586
-02 1.78499 -0.0195669
-02 1.79002 -0.0193513
-02 1.7951 -0.0195116
-02 1.81082 -0.0195152
-02 1.81085 -0.0195152
-02 1.81496 -0.0194244
-02 1.81996 -0.0194731
-02 1.82498 -0.0195254
-02 1.83005 -0.0194943
-02 1.84413 -0.0193626
-02 1.84415 -0.0193626
-02 1.84495 -0.0193744
-02 1.84995 -0.0193576
-02 1.85495 -0.0193593
-02 1.85998 -0.0194109
-02 1.87871 -0.0192221
-02 1.87872 -0.0192221
-02 1.87996 -0.0192669
-02 1.88495 -0.0192304
-02 1.88995 -0.019228
-02 1.89498 -0.019213
-02 1.89998 -0.0191209
-02 1.90497 -0.0191333
-02 1.91001 -0.0191
-02 1.91501 -0.0190679
-02 1.92002 -0.0189609
-02 1.92538 -0.0190818
-02 1.92999 -0.0189724
-02 1.93495 -0.0190187
-02 1.93995 -0.0189679
-02 1.94495 -0.0190396
-02 1.94997 -0.0189483
-02 1.95495 -0.0190962
-02 1.95997 -0.0188871
-02 1.965 -0.0189626
-02 1.96995 -0.0189471
-02 1.97494 -0.0189186
-02 1.97996 -0.0189649
-02 1.98497 -0.0190327
-02 1.98995 -0.0190818
-02 1.99515 -0.0190437
-02 1.99996 -0.0190232
-02 2.00496 -0.0191192
-02 2.00996 -0.0190101
-02 2.01497 -0.0190962
-02 2.01996 -0.0190012
-02 2.0251 -0.0191132
-02 2.03064 -0.0191693
-02 2.03504 -0.0191708
-02 2.04011 -0.0191458
-02 2.04504 -0.0192296
-02 2.0501 -0.0192343
-02 2.05499 -0.0193025
-02 2.06071 -0.0191655
-02 2.06501 -0.0193133
-02 2.06999 -0.0193335
-02 2.07496 -0.0193043
-02 2.08001 -0.0194741
-02 2.08498 -0.0194168
-02 2.09001 -0.0193666
-02 2.09502 -0.0194869
-02 2.09998 -0.0194581
-02 2.10497 -0.0194352
-02 2.10999 -0.0194433
-02 2.11497 -0.0195627
-02 2.11998 -0.0194898
-02 2.12498 -0.0195241
-02 2.13001 -0.0194437
-02 2.13498 -0.0194819
-02 2.13999 -0.0194466
-02 2.14497 -0.0193508
-02 2.14997 -0.0195199
-02 2.15496 -0.0193818
-02 2.15998 -0.0195115
-02 2.165 -0.0195505
-02 2.16998 -0.0193653
-02 2.17496 -0.0194145
-02 2.17995 -0.0192979
-02 2.18495 -0.0192883
-02 2.18999 -0.0192981
-02 2.19502 -0.0192923
-02 2.19998 -0.0192634
-02 2.20496 -0.0191726
-02 2.20996 -0.0192298
-02 2.21496 -0.0192877
-02 2.21997 -0.0192303
-02 2.22496 -0.0191154
-02 2.2307 -0.0191806
-02 2.23499 -0.0190442
-02 2.24 -0.0191719
-02 2.24501 -0.0191444
-02 2.25005 -0.0190105
-02 2.25501 -0.0190283
-02 2.2601 -0.0191373
-02 2.26516 -0.0190942
-02 2.27 -0.0190733
-02 2.275 -0.0191255
-02 2.27997 -0.0191171
-02 2.28498 -0.0190599
-02 2.28999 -0.0190468
-02 2.29503 -0.0190887
-02 2.30004 -0.0189872
-02 2.30497 -0.0190916
-02 2.30996 -0.0190234
-02 2.31497 -0.019107
-02 2.31997 -0.0189408
-02 2.32497 -0.0191444
-02 2.3307 -0.0191212
-02 2.33499 -0.019091
-02 2.34001 -0.0191629
-02 2.34498 -0.0189796
-02 2.34995 -0.0190615
-02 2.35499 -0.0192715
-02 2.36 -0.0192439
-02 2.36514 -0.0192036
-02 2.37002 -0.0191793
-02 2.37504 -0.0191728
-02 2.38001 -0.0193028
-02 2.38501 -0.0192638
-02 2.38998 -0.0192975
-02 2.395 -0.0192746
-02 2.39997 -0.0193509
-02 2.40496 -0.0193623
-02 2.41102 -0.0192521
-02 2.41497 -0.0193785
-02 2.41997 -0.0192656
-02 2.42496 -0.0192483
-02 2.43027 -0.01932
-02 2.43497 -0.0192627
-02 2.43998 -0.0193591
-02 2.44495 -0.0194225
-02 2.44995 -0.0195205
-02 2.45495 -0.0194573
-02 2.45995 -0.0194831
-02 2.46499 -0.0193484
-02 2.46995 -0.019443
-02 2.47497 -0.019355
-02 2.48001 -0.0194199
-02 2.48498 -0.0192709
-02 2.48997 -0.0193266
-02 2.49566 -0.0193042
-02 2.49997 -0.0193944
-02 2.50498 -0.0193379
-02 2.50996 -0.019357
-02 2.52907 -0.0193101
-02 2.52908 -0.0193101
-02 2.53012 -0.0193623
-02 2.53499 -0.0192242
-02 2.53996 -0.0190833
-02 2.54496 -0.0191262
-02 2.56244 -0.0191912
-02 2.56245 -0.0191912
-02 2.56509 -0.01921
-02 2.56995 -0.0191138
-02 2.57495 -0.0192775
-02 2.57998 -0.0191884
-02 2.58495 -0.0191849
-02 2.59159 -0.0191352
-02 2.595 -0.0190702
-02 2.60001 -0.0189889
-02 2.60503 -0.0191436
-02 2.61002 -0.0191138
-02 2.61501 -0.0191507
-02 2.62001 -0.0190957
-02 2.625 -0.019247
-02 2.64583 -0.0191974
-02 2.64584 -0.0191974
-02 2.64997 -0.0191463
-02 2.65498 -0.0192568
-02 2.65995 -0.0191372
